주요내용,주요내용_정제,지역,원본행,세부사업명,판정,판정근거
"군산시 시민 아이디어 UCC 공모전 대상 : 제한없음 주제 : 군산시 인구정책과 관련한 아이디어 및 홍보영상 군산시민 생활수기 공모전 대상 : 군산시민 주제 : 군산에 살며 겪은 일, 느낀 점 등 군산시 슬기로운 가족사진 공모전 대상 : 군산시민 주제 : 함께 육아, 가족의 소중함 등","군산시 시민 아이디어 UCC 공모전 대상 : 제한없음 주제 : 군산시 인구정책과 관련한 아이디어 및 홍보영상
군산시 생활수기 공모전 대상 : 군산시민 주제 : 군산에 살며 겪은 일, 느낀 점 등
군산시 슬기로운 가족사진 공모전 대상 : 군산시민 주제 : 함께 육아, 가족의 소중함 등",전북,7065,인구정책분야 공모전 추진,원문 유지,'군산시민 생활수기'가 '군산시 생활수기'로 변경됨
국저귀득 후 관내 신규주민등록자 300만원 분할지원,국적취득 후 관내 신규주민등록자 300만원 분할지원,전북,7072,국적취득자 정착 지원,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
사업내용 : ① 임신･출산지원 ② 신생아･보육･아이돌봄 ③ 가구별 맞춤지원 ➃ 일과 가정의 양립을 위한 고용 정책 ⑤ 관련기관(정보),사업내용 : ① 임신･출산지원 ② 신생아･보육･아이돌봄 ③ 가구별 맞춤지원 ④ 일과 가정의 양립을 위한 고용 정책 ⑤ 관련기관(정보),전북,7089,인구정책 가이드북 제작,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
"출생신고 인증서 및 보관용 액자 제공 (종료) 신생아 사진, 성명, 출생일시, 혈액형, 띠, 별자리 등 기록 아기주민등록증 발급 (신규) 신생아 사진, 성명, 출생일시, 혈액형, 띠, 등 기록하여 주민등록증 형태로 발급","출생신고 인증서 및 보관용 액자 제공 (종료) 신생아 사진, 성명, 출생일시, 혈액형, 띠, 별자리 등 기록 아기주민등록증 발급 (신규) 신생아 사진, 성명, 출생일시, 혈액형, 띠, 별자리 등 기록하여 주민등록증 형태로 발급",전남,7186,출생신고 인증서 발급,원문 유지,신규 사업 설명에 원문에 없던 '별자리' 항목이 추가됨
여수시에 주소를 둔 관내 난임시술부부 난임진단을 받기 위한 검사비 1회20만원 최근 3년이내의 시술완료까지,여수시에 주소를 둔 관내 난임시술부부 난임진단을 받기 위한 검사비 1회 20만원 최근 3년이내의 시술완료까지,전남,7201,난임 기초검진비 지원,공백 정리,공백 제거 후 문자열 동일
신청일 기준 우리시에 주민등록을 둔 임신부 산전검진을 위한 교통비 1인 /10만원,신청일 기준 우리시에 주민등록을 둔 임신부 산전검진을 위한 교통비 1인/10만원,전남,7207,임신부 교통비 지원,공백 정리,공백 제거 후 문자열 동일
예비부모 엽산제 지원 →임신계획 3개월 전부터 3개월분 지급,예비부모 엽산제 지원 → 임신계획 3개월 전부터 3개월분 지급,전남,7230,예비부모 엽산제 지원,공백 정리,공백 제거 후 문자열 동일
• 관내 등록 임신부에에게 태아기형아 무료검진비 2회지원,• 관내 등록 임신부에게 태아기형아 무료검진비 2회 지원,전남,7260,임신부 산전 무료 검진비 지원,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
• 아이돌봄지원사업 본인부담금 지원,아이돌봄지원사업 본인부담금 지원,전남,7302,아이돌봄 본인부담금 추가지원,원문 유지,글머리표가 삭제되어 공백·명백한 오탈자 교정 범위를 벗어남
• 출산여성 산후조리 보약,출산여성 산후조리 보약,전남,7323,출산여성 산후 보약지원,원문 유지,글머리표가 삭제되어 공백·명백한 오탈자 교정 범위를 벗어남
• 관내15개소 어린이집 아침밥 보조금 지원,• 관내 15개소 어린이집 아침밥 보조금 지원,전남,7335,어린이집 아침밥지원 사업,공백 정리,공백 제거 후 문자열 동일
• 다함께돌봄센터 이요아동 건강증진 및 종사차처우개선목적,• 다함께돌봄센터 이용아동 건강증진 및 종사자 처우개선 목적,전남,7336,다함께돌봄사업지원,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
"• 12개월 분할지급(첫째 120, 둘째240, 셋째720)","• 12개월 분할지급(첫째 120, 둘째 240, 셋째 720)",전남,7340,강진군 신생아 양육비 지원사업,공백 정리,공백 제거 후 문자열 동일
• 공공산후조리원 이용료 30% 감면(신생아의 출생일을 기준으로 3개우러전부터 계속 강진군내에 주민등록을 두고 실제 거주하고 있는 임부),• 공공산후조리원 이용료 30% 감면(신생아의 출생일을 기준으로 3개월전부터 계속 강진군내에 주민등록을 두고 실제 거주하고 있는 임부),전남,7353,공공산후조리원 확대 지원사업,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
"• 신선배아 7회/ 150만원 이내, 동결배아 5회/ 50만원 이내, 인공수정 5회/ 30만원 매회 지원","• 신선배아 7회/150만원 이내, 동결배아 5회/50만원 이내, 인공수정 5회/30만원 매회 지원",전남,7408,난임부부 시술비 본인부담금 추가지원,공백 정리,공백 제거 후 문자열 동일
• 지원대상 : 보건소 등록 임산부 • 지원내용 : 관내 임산부를 대상으로이동진료 실시,• 지원대상 : 보건소 등록 임산부 • 지원내용 : 관내 임산부를 대상으로 이동진료 실시,전남,7430,찾아가는 산부인과 운영,공백 정리,공백 제거 후 문자열 동일
• 지원 대상 - 인 력 양 성 : 진도군에 주민등록을 둔 18~64세 지역주민 - 교통지원금 : 진도군 산모에게 서비스를 제공한 산모･신생아 건강관리사 • 지원 내용 - 인 력 양 성 : 교육비 및 여비 - 산모･신생아 건강관리사 교통지원금,• 지원 대상 - 인력 양성 : 진도군에 주민등록을 둔 18~64세 지역주민 - 교통지원금 : 진도군 산모에게 서비스를 제공한 산모･신생아 건강관리사 • 지원 내용 - 인력 양성 : 교육비 및 여비 - 산모･신생아 건강관리사 교통지원금,전남,7449,산모･신생아건강관리사 인력양성 및 교통비 지원,공백 정리,공백 제거 후 문자열 동일
• 경로당 소규모 수선사업 지원,경로당 소규모 수선사업 지원,전남,7535,경로당 소규모 개보수 사업,원문 유지,글머리표가 삭제되어 공백·명백한 오탈자 교정 범위를 벗어남
• 경로당부식비 지원,경로당부식비 지원,전남,7537,경로당 부식비 지원사업,원문 유지,글머리표가 삭제되어 공백·명백한 오탈자 교정 범위를 벗어남
"• 대상 : 밭작물3,000㎡이상 경작하는 여성경영주 또는 공동 경영주 • 사업내용 : 정리정돈 인건비, 간식비, 쓰레기 처리비 지원","• 대상 : 밭작물 3,000㎡ 이상 경작하는 여성경영주 또는 공동 경영주 • 사업내용 : 정리정돈 인건비, 간식비, 쓰레기 처리비 지원",전남,7635,여성농업인 주거시설의 ‘신박한정리’지원,공백 정리,공백 제거 후 문자열 동일
"• 취, 창업 활동 경비 지원(월 50만원, 6개월, 생애 1회)","• 취업·창업 활동 경비 지원(월 50만원, 6개월, 생애 1회)",전남,7684,청년 취업활동수당 지급,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
"• 사업내용 : 치매환경조성 및 치매인식개선12개소 (도립4, 시군립12)","• 사업내용 : 치매환경조성 및 치매인식개선 12개소 (도립4, 시군립12)",경북,7836,공립요양병원 치매환자지원프로그램,공백 정리,공백 제거 후 문자열 동일
"• 사업내용 : 치매환경조성 및 치매인식개선12개소 (도립4, 시군립12)","• 사업내용 : 치매환경조성 및 치매인식개선 12개소 (도립4, 시군립12)",경북,7847,공립요양병원 치매환자지원프로그램,공백 정리,공백 제거 후 문자열 동일
• 출산가정 축하축하쿠폰 지원,• 출산가정 축하쿠폰 지원,경북,7935,출산축하쿠폰지원,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
"• 정부미지원어린이집 보육교사 처우개선비 지원 1인/ 월 월50,000원~90,000원","• 정부미지원어린이집 보육교사 처우개선비 지원 1인/월 월50,000원~90,000원",경북,7974,정부미지원어린이집 보육교사처우개선비,공백 정리,공백 제거 후 문자열 동일
"• 어린이집 보육아동 간식비 1인/ 월 10,000원","• 어린이집 보육아동 간식비 1인/월 10,000원",경북,7981,어린이보육아동간식비,공백 정리,공백 제거 후 문자열 동일
"• 지원대상 : 주민등록상 출생 신고한가정으로 부 또는 모가 김천시에 주민등록을 두고 실제 거주하는 가정 • 지원내용 : 첫째 300만원, 둘째 500만원, 셋째 800만원, 넷째 1,000만원","• 지원대상 : 주민등록상 출생 신고한 가정으로 부 또는 모가 김천시에 주민등록을 두고 실제 거주하는 가정 • 지원내용 : 첫째 300만원, 둘째 500만원, 셋째 800만원, 넷째 1,000만원",경북,8004,출산장려금 지원,공백 정리,공백 제거 후 문자열 동일
• 3만원범위 내/ 5년납입/ 10년보장/ 만기환급형,• 3만원 범위 내/ 5년 납입/ 10년 보장/ 만기 환급형,경북,8028,출생아 및 입양아 건강보험료 지원,공백 정리,공백 제거 후 문자열 동일
• 지원대상 : 가족단위 지역민 • 주요내용 : 가족단위 여가프로극램 제공을 통한 가족친화 분위기 조성,• 지원대상 : 가족단위 지역민 • 주요내용 : 가족단위 여가프로그램 제공을 통한 가족친화 분위기 조성,경북,8049,찾아가는 가족사랑의 날,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
"• 지원대상 : 영주 거주 육아･가사 참여 아빠 30인(자녀연령 만5~8세) • 지원내용 : 부모교육, 활동지원, 간담회, 가족놀이 프로그램 운영 등","• 지원대상 : 영주 거주 육아·가사 참여 아빠 30인(자녀연령 만5~8세) • 지원내용 : 부모교육, 활동지원, 간담회, 가족놀이 프로그램 운영 등",경북,8056,MOM편한 30인의 아빠단 운영,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
"• 아동친화도시 추진위원회 운영 • 아동권리교육, 아동청소년참여기구 운영등 • 놀이활동가 양성 및 팝업놀이터 운영 등","• 아동친화도시 추진위원회 운영 • 아동권리교육, 아동청소년참여기구 운영 등 • 놀이활동가 양성 및 팝업놀이터 운영 등",경북,8060,아동친화도시 조성,공백 정리,공백 제거 후 문자열 동일
• 만 0세~ 만5세까지의 직원 자녀를 대상으로직장 어린이집을 운영,• 만 0세~ 만5세까지의 직원 자녀를 대상으로 직장 어린이집을 운영,경북,8104,경산시청 직장어린이집 운영,공백 정리,공백 제거 후 문자열 동일
"• 유모차, 보행기등 40종 175여점 대여","• 유모차, 보행기 등 40종 175여점 대여",경북,8161,출산육아용품지원센터 운영,공백 정리,공백 제거 후 문자열 동일
• 주민등록상 관내 주소를 둔 부 또는모의 출산가정 일정금액 지원,• 주민등록상 관내 주소를 둔 부 또는 모의 출산가정 일정금액 지원,경북,8213,출산장려금 지원,공백 정리,공백 제거 후 문자열 동일
• 임신부 대상 임산부 학교 상･하반기 각1회 운영,• 임신부 대상 임산부 학교 상·하반기 각1회 운영,경북,8222,행복한 임산부 학교 운영,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
• 노인들의 다양한 욕구충종 및 봉사활동을 통한 건강한 프로그램 참여로 활기찬 노후와 삶의 질 향상 도모,• 노인들의 다양한 욕구충족 및 봉사활동을 통한 건강한 프로그램 참여로 활기찬 노후와 삶의 질 향상 도모,경북,8276,노인복지관 운영 지원,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
• 노인의 날 기념행사를 개최함으로써 노인에 대한 범 시민적 관심제고로 전통적 미풍양속인 경로효친 분위기를 확산 시키고자 함,• 노인의 날 기념행사를 개최함으로써 노인에 대한 범 시민적 관심제고로 전통적 미풍양속인 경로효친 분위기를 확산시키고자 함,경북,8278,노인의 날 행사 지원,공백 정리,공백 제거 후 문자열 동일
• 어버이날 행사 (5월),어버이날 행사 (5월),경북,8299,경로효친사상 제고,원문 유지,글머리표가 삭제되어 공백·명백한 오탈자 교정 범위를 벗어남
• 70세 이상 어른신 월2회 목욕바우처 지급,• 70세 이상 어르신 월2회 목욕바우처 지급,경북,8314,천원목욕탕(어르신목욕비) 지원,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
• 다양한 프로그램과 현장체험 학습을 통해 삶의 질을 높에고 제2의 인생 발판 마련 제공,• 다양한 프로그램과 현장체험 학습을 통해 삶의 질을 높이고 제2의 인생 발판 마련 제공,경북,8442,구미시 청춘대학,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
• 관내 중･고등학교 신입생 및 전학생 200명 정도 교복구입비 1인당 30만원 내에서 지원,• 관내 중·고등학교 신입생 및 전학생 200명 정도 교복구입비 1인당 30만원 내에서 지원,경북,8490,중고등학교 신입생 교복 구입비 지원,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
"• 경종농업분야의 영농규모 확대, 시설 확충 및 개 보수","• 경종농업분야의 영농규모 확대, 시설 확충 및 개보수",경북,8574,귀농정착지원사업,공백 정리,공백 제거 후 문자열 동일
• 귀농인 정착 지원,귀농인 정착 지원,경북,8634,귀향 베이비부머의 안정적 정착 지원 사업,원문 유지,글머리표가 삭제되어 공백·명백한 오탈자 교정 범위를 벗어남
"• 지원대상 : 정부지원 어린이집 및 취약보육 (영아전담, 장애통합 등) 운영 어린이집 • 사업내용 : 정부지원 및 취약보육 어린이집 보육교직원 등 대상 인건비, 수당 지원","• 지원대상 : 정부지원 어린이집 및 취약보육(영아전담, 장애통합 등) 운영 어린이집 • 사업내용 : 정부지원 및 취약보육 어린이집 보육교직원 등 대상 인건비, 수당 지원",경남,8674,보육교직원 인건비 지원,공백 정리,공백 제거 후 문자열 동일
• 21년도 출생아 출산축하금 지급 - 첫쨰 50만원 둘째이상 200만원,• 21년도 출생아 출산축하금 지급 - 첫째 50만원 둘째이상 200만원,경남,8804,출산축하금 지급,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
• 민간단체로 부터 공모를 받아 출산장려에 필요한 시책 추진,• 민간단체로부터 공모를 받아 출산장려에 필요한 시책 추진,경남,8836,출산장려 공모사업,공백 정리,공백 제거 후 문자열 동일
"• 지원대상 : 매월 10일 현재 임용보고된 보육교사 • 사업내용 : 보육교사 처우개선비 월 2만원, 보육 시설종사자 하계휴가비 당해연도 7월10일 현재 임용보고 된 종사자","• 지원대상 : 매월 10일 현재 임용보고된 보육교사 • 사업내용 : 보육교사 처우개선비 월 2만원, 보육 시설종사자 하계휴가비 당해연도 7월10일 현재 임용보고된 종사자",경남,8843,보육교사 처우개선비 지원,공백 정리,공백 제거 후 문자열 동일
• 저소득 한부모가족 초･중･고등학교 자녀 교육활동 지원비,• 저소득 한부모가족 초·중·고등학교 자녀 교육활동 지원비,경남,8861,한부모가족 자녀 교육활동비 지원,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
"• 첫째자녀 100만원(일시지급), 둘째자녀 200만원 (일시지급), 셋째이상 자녀 600만원(5차분할지급)","• 첫째자녀 100만원(일시지급), 둘째자녀 200만원(일시지급), 셋째이상 자녀 600만원(5차분할지급)",경남,8866,첫째자녀 이상 출산지원금 지원,공백 정리,공백 제거 후 문자열 동일
• 다자녀 가구 수도요금 감면,다자녀 가구 수도요금 감면,경남,8941,셋째아이 이상 수도요금 감면,원문 유지,글머리표가 삭제되어 공백·명백한 오탈자 교정 범위를 벗어남
• 출산축하 및 장려,출산축하 및 장려,경남,8960,출산장려금 지원사업,원문 유지,글머리표가 삭제되어 공백·명백한 오탈자 교정 범위를 벗어남
"• 한부부당 20만원 이내(단, 1회 검사비에 한함) 난임 원인검사 본임부담 의료비 지원","• 한부부당 20만원 이내(단, 1회 검사비에 한함) 난임 원인검사 본인부담 의료비 지원",경남,8975,난임부부 검사비 지원,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
• 관내 경로당중 중식 실시 경로당 중식비 지원,• 관내 경로당 중 중식 실시 경로당 중식비 지원,경남,9088,경로당 중식비 지원,공백 정리,공백 제거 후 문자열 동일
• 경로당 신축 사업,경로당 신축 사업,경남,9132,경로당 건립 및 개보수,원문 유지,글머리표가 삭제되어 공백·명백한 오탈자 교정 범위를 벗어남
"• 원스톱 장사서비스 시스테 구축하여 군민 장례 절차 및 비용부담 경감(함안하늘공원, 공설추모 공원, 공설봉안당)","• 원스톱 장사서비스 시스템 구축하여 군민 장례 절차 및 비용부담 경감(함안하늘공원, 공설추모 공원, 공설봉안당)",경남,9150,공설장사시설 운영,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
"• (2020) 중학교 신입생 및 전입생 교복구입비 30만원 지원 • (2021, 2022) 중,고등학교 신입생 및 1학년 전입생 교복구입비 30만원 지원","• (2020) 중학교 신입생 및 전입생 교복구입비 30만원 지원 • (2021, 2022) 중·고등학교 신입생 및 1학년 전입생 교복구입비 30만원 지원",경남,9197,교복구입비 지원사업,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
• 창년의 창업 초기 자금 부담 경감을 위한 창업 활동비 지원 • 1인당 270만원(월 30만원 × 9개월),• 청년의 창업 초기 자금 부담 경감을 위한 창업 활동비 지원 • 1인당 270만원(월 30만원 × 9개월),경남,9254,청년 창업 수당,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
• 관내70개 초중고특수학교의 교육경비 지원,• 관내 70개 초중고 특수학교의 교육경비 지원,경남,9307,초중고 교육과정 운영지원,공백 정리,공백 제거 후 문자열 동일
• 평생학습 프로그램 위탁 운영,평생학습 프로그램 위탁 운영,경남,9328,평생학습 위탁사업 운영,원문 유지,글머리표가 삭제되어 공백·명백한 오탈자 교정 범위를 벗어남
• 합천군 부설 한문대학 프로그램 운영,합천군 부설 한문대학 프로그램 운영,경남,9372,합천군 부설 한문대학 운영,원문 유지,글머리표가 삭제되어 공백·명백한 오탈자 교정 범위를 벗어남
• 저출산인식개선 교육 및 캠펭인 등 실시,• 저출산인식개선 교육 및 캠페인 등 실시,경남,9447,출산장려분위기 조성,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
• 여성결혼이미자 모국방문지원 확대,• 여성결혼이민자 모국방문지원 확대,경남,9473,결혼이민자 모국방문 기회 제공,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
• 공립.법인 등 정부지원 보육시설 종사자 인건비 및 민간시설 보조교사 인건비 등,• 공립·법인 등 정부지원 보육시설 종사자 인건비 및 민간시설 보조교사 인건비 등,제주,9493,보육돌봄 서비스(교직원인건비) 지원,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
"• 혼인.임신.출산.욱아 등으로 경력이 단절된 여성에게 취업상담, 직업교육훈련, 인턴십 및 취업 후 사후관리 등 취업지원 서비스 제공","• 혼인·임신·출산·육아 등으로 경력이 단절된 여성에게 취업상담, 직업교육훈련, 인턴십 및 취업 후 사후관리 등 취업지원 서비스 제공",제주,9539,경력단절여성 등 재취업 지원여성새로일하기센터 운영(3개소),명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
"• 둘째 자녀 출산시 맞춤형복지 복지점수를500점(50만원), 셋째이상 자녀 출산시 맞춤형복지 복지점수를 1,000점(100만원) 별도 배정","• 둘째 자녀 출산시 맞춤형복지 복지점수를 500점(50만원), 셋째이상 자녀 출산시 맞춤형복지 복지점수를 1,000점(100만원) 별도 배정",제주,9549,직원자녀 출산 축하 복지점수 배정,공백 정리,공백 제거 후 문자열 동일
• 십장생 문화 예술단 운영을 통한 여가 및 무료 봉사 활동 추진,• 십장생 문화예술단 운영을 통한 여가 및 무료 봉사 활동 추진,제주,9629,십장생 문화예술단 운영,공백 정리,공백 제거 후 문자열 동일
"• 장수수당, 이･미용료 및 목욕료, 무주택 독거노인 주거비","• 장수수당, 이·미용료 및 목욕료, 무주택 독거노인 주거비",제주,9642,저소득 노인 생활안정 지원사업,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
"• 일반구직자 및 청년층, 특성화 고교 미취업자를 대상으로직업지도, 동행면접 등을 실시하여 일자리미스매칭 해소","• 일반구직자 및 청년층, 특성화 고교 미취업자를 대상으로 직업지도, 동행면접 등을 실시하여 일자리미스매칭 해소",제주,9666,전문직업상담사 취업지원 프로그램,공백 정리,공백 제거 후 문자열 동일
"• 경력단절, 미취업여성 취업상담, 직업교육훈련 및 취.창업연계","• 경력단절, 미취업여성 취업상담, 직업교육훈련 및 취창업연계",제주,9680,제주여성인력개발센터 운영,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
